image_id,caption_id,Caption,Label
1466066,478103,South Korean soldiers outside the demilitarised zone that separates North and South Korea.,OOC
1205489,186092,"The Carifesta festival's opening ceremony in Santo Domingo, Dominican Republic, captivated audiences with a dynamic array of cultural performances.",OOC
1205489,186092,"On February 14th, 2012, the annual cultural event in Port au Prince kicked off with a spectacular performance.",OOC
1205489,186092,Young boys cover one another in reefmud in the Pacific island nation of Kiribati.,OOC
452800,596039,"Marking the national Waitangi Day in 2013, a large crowd performed the haka in recognition of New Zealand's complex colonial history with the Maori.",OOC
452800,596039,"A powerful haka was performed by a group in Christchurch, New Zealand.",OOC
452800,596039,Papeete Tahiti People gather to beat the world record of ukulele players at the first Tahiti ukulele festival with more than 4750 participants from the French Pacific Ocean archipelago.,OOC
622508,821106,Protests in Sao Paulo ahead of the World Cup (photograph: Sebastiao Moreira/EPA).,Accurate
622508,821106,"This month, demonstrations erupted in Rio de Janeiro, targeting the preparations for the upcoming Olympics.",OOC
622508,821106,Protests against the upcoming World Cup in Brazilia this month.,OOC
411012,1501411,"School in Newtown, 2012.",Accurate
411012,1501411,"On November 30, 2015, an aerial image of Sandy Hook Elementary reveals the old school grounds before their planned destruction.",OOC
411012,1501411,"Crestwood College in Austin, which was briefly in the news due to an evacuation drill  on March 15.",OOC
442631,1538261,A Philippine Air Force crewman looks out from his helicopter over the typhoon Haiyan ravaged city of Tacloban.,Accurate
442631,1538261,"In December 2012, a Filipino helicopter pilot surveys the storm-damaged areas of Tacloban, still recovering from Typhoon Haiyan.",OOC
442631,1538261,An indonesian helicopter flies over Manilla following Typhoon Haiyan.,OOC
85503,895361,Brazilian soldiers patrol the Olympic Village in a photo taken Aug 8 (AP).,OOC
85503,895361,Brazilian security forces deployed for the World Cup.,OOC
85503,895361,Police officers outside the Brasilia home of Eduardo Cunha.,OOC
223804,571102,"After making the dangerous crossing from Turkey, an Afghan family is met by a volunteer on the coast of Greece, where they begin their journey to safety.",OOC
223804,571102,"A Syrian child receives aid from a volunteer at a coastal refugee camp in Italy, having arrived by boat from Libya earlier this month.",OOC
223804,571102,Migrants come ashore on Zefyros beach after their boat ran aground off the Greek island of Rhodes.,OOC
